archivo_webp,archivo_original,ancho_original,alto_original,ancho_webp,alto_webp
E37_fiv_general_H.webp,laboratorio_de_fiv_de_alta_tecnología.png,1586,992,1586,992
E38_fiv_campana_H.webp,laboratorio_fiv_de_embriología.png,1586,992,1586,992
E39_fiv_incubadora_H.webp,incubadora_co2_para_cultivo_embrionario.png,1586,992,1586,992
E40_fiv_micromanipulador_H.webp,estación_de_micromanipulación_ivf_de_precisión.png,1586,992,1586,992
E41_fiv_criotanque_H.webp,tanque_criogénico_en_laboratorio_fiv.png,1586,992,1586,992
E42_fiv_vestidor_H.webp,vestidor_estéril_para_laboratorio_fiv.png,1586,992,1586,992
E43_ultrasonido_H.webp,sala_de_ultrasonido_reproductivo_moderna.png,1586,992,1586,992
E44_ultrasonido_pantalla_H.webp,ecografía_en_sala_clínica.png,1586,992,1586,992
E45_ultrasonido_transductor_H.webp,equipo_de_ultrasonido_en_clínica.png,1586,992,1586,992
E46_ultrasonido_pareja_H.webp,sala_de_ultrasonido_para_nuevas_historias.png,1586,992,1586,992
E47_genetica_H.webp,consultorio_de_consejería_genética_moderno.png,1586,992,1586,992
E48_genetica_pedigri_H.webp,consulta_de_genética_médica_moderna.png,1586,992,1586,992
E49_genetica_cariotipo_H.webp,consejería_genética_conocimiento_para_el_futuro.png,1586,992,1586,992
E50_patologia_H.webp,laboratorio_de_patología_placentaria.png,1586,992,1586,992
E51_patologia_mesa_H.webp,estación_de_patología_placentaria_de_alta_precisió.png,1586,992,1586,992
E52_patologia_frascos_H.webp,laboratorio_moderno_de_patología_placentaria.png,1586,992,1586,992
E53_sala_partos_H.webp,sala_de_partos_moderna_y_clínica.png,1586,992,1586,992
E57_monitor_fetal_H.webp,monitorización_fetal_en_obstetricia.png,1586,992,1586,992
E58_lounge_H.webp,sala_de_residentes_con_vista_urbana.png,1586,992,1586,992
E59_lounge_cafetera_H.webp,sala_de_descanso_hospitalaria_con_café_y_diseño_mo.png,1586,992,1586,992
E60_dormitorio_H.webp,dormitorio_de_guardia_hospitalaria.png,1586,992,1586,992
E61_lockers_H.webp,vestuario_hospitalario_moderno_y_ordenado.png,1586,992,1586,992
E62_cafeteria_H.webp,cafetería_hospitalaria_luminosa_y_saludable.png,1586,992,1586,992
E63_biblioteca_H.webp,biblioteca_hospitalaria_san_gabriel.png,1586,992,1586,992
E64_fachada_dia_H.webp,hospital_moderno_st._peter_memorial.png,1586,992,1586,992
E65_fachada_noche_H.webp,hospital_st._peter_al_anochecer.png,1586,992,1586,992
E66_entrada_principal_H.webp,entrada_principal_del_hospital_st._peter_memorial.png,1586,992,1586,992
E67_estacionamiento_H.webp,wide_outdoor_scene_of_a_modern_hospital_parking_lo.png,1536,1024,1536,1024
E68_helipuerto_H.webp,wide_aerial_rooftop_scene_of_a_hospital_helipad_at.png,1536,1024,1536,1024
